Year,Pop,GDP,Life_exp,Pop_perc_m,Migration,Unemployment,Patents,CO2 emissions,GNP,Air_passengers,Education_GDPperc,Consumer_PI,Fertility_rate_BpW,Mortality_Infant_rate_Dp1000
1960,2828600,1939329775,69.7965122,50.26950731,,,IP.PAT.RESD,3.952726791,,,,5.073265379,3.78,30.4
1961,2824400,2088012282,69.97826829,50.23503457,,,,4.377964877,,,,5.213135273,3.78,29.2
1962,2836050,2260349684,70.13407317,50.21637456,-105837,,,4.626338041,,,,5.435409136,3.92,28.1
1963,2852650,2430843768,70.27292683,50.20855467,,,,4.718965523,,,,5.568773453,4.01,27.1
1964,2866550,2766608946,70.40129268,50.20524666,,,,4.964723099,,,,5.9428441,4.07,26
1965,2877300,2945704143,70.52314634,50.20165432,,,,4.772847809,,,,6.239280504,4.04,24.7
1966,2888800,3104034393,70.63843902,50.19619505,,,,5.231136458,,,,6.429846764,3.94,23.4
1967,2902450,3343636773,70.74514634,50.19008548,-57278,,,5.655047288,,,,6.634529043,3.84,22
1968,2915550,3278584478,70.84429268,50.18448095,,,,6.112609971,,,,6.945081466,3.77,20.7
1969,2932650,3787077344,70.93787805,50.18153215,,,,6.313294461,,1476300,,7.460316168,3.83,19.7
1970,2957250,4401259497,71.03143902,50.18271026,,,,6.564577902,,1544200,4.481040001,8.072598503,3.85,19
1971,2992050,5104355309,71.12853659,50.18722241,,,,7.518940192,,1408800,4.6113801,8.796044489,3.93,18.6
1972,3036850,6325627459,71.2322439,50.19353331,44335,,,7.261912179,2070,1496300,4.603050232,9.55301602,3.84,18.2
1973,3085950,7490132356,71.34556098,50.20108248,,,,7.407792738,2540,1474600,4.680419922,10.64347851,3.71,17.9
1974,3137500,7906317069,71.47202439,50.20898437,,,,7.427501195,2990,1475700,,12.45032897,3.59,17.5
1975,3189550,9495165854,71.61660976,50.21629291,,,,6.914247464,3390,1578100,4.291349888,15.04944101,3.37,16.9
